Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Correct Answer(s),Time Limit (sec) (Max: 300 seconds)
1,Chữ「一」có nghĩa là gì?,MỘT,"VĂN, CHỮ VIẾT",ĐÚNG,"CƠM, THỨC ĂN",1,20
2,Chữ「八」có nghĩa là gì?,"ĐÂY, CÁI NÀY",TÁM,ANH ẤY,BẬN,2,20
3,Chữ「五」có nghĩa là gì?,NĂM,PHỤ NỮ,CỬA,"TÊN, TÊN GỌI",1,20
4,Chữ「不」có nghĩa là gì?,BẠN BÈ,KHÔNG,"ÂM, ÂM THANH",MƯỜI,2,20
5,Chữ「大」có nghĩa là gì?,TO LỚN,BẠC,TRƯA,"MUỐN, CẦN, YÊU CẦU",1,20
6,Chữ「口」có nghĩa là gì?,HÔM QUA,SÁNG,TRƯỜNG HỌC,MIỆNG,4,20
7,Chữ「白」có nghĩa là gì?,"NƯỚC, QUỐC GIA","LÀM, TẠO RA, SÁNG TẠO, LÀM VIỆC",TRẮNG,"CÂY, GỖ",3,20
8,Chữ「女」có nghĩa là gì?,"KỲ, TUẦN",PHỤ NỮ,NGƯỜI,"PHÁT, PHÁT TRIỂN",2,20
9,Chữ「你」có nghĩa là gì?,BẠN,"THÂN THỂ, CƠ THỂ",CŨNG,MẸ,1,20
10,Chữ「好」có nghĩa là gì?,MƯỜI,MẸ,TỐT,"CÁI, LƯỢNG TỪ",3,20
11,Chữ「马」có nghĩa là gì?,BẠN,NGỰA,KHÓ,"SINH, SỐNG",2,20
12,Chữ「太」có nghĩa là gì?,"THÂN, CƠ THỂ","QUÁ, LẮM","MẤT, CHẾT",BẠN,2,20
13,Chữ「汉」có nghĩa là gì?,"ĐÓNG, TẮT","SÁCH, VIẾT",BẠN,HÁN,4,20
14,Chữ「语」có nghĩa là gì?,NGÔN NGỮ,ĂN,NGƯỜI,BẠN,1,20
15,Chữ「吗」có nghĩa là gì?,ĐÚNG,"MẤT, CHẾT",KHÔNG (TRỢ TỪ),TỐT,3,20
16,Chữ「妈」có nghĩa là gì?,MẸ,BẠN,"LÔNG, HÀO (TIỀN)",HỎI,1,20
17,Chữ「爸」có nghĩa là gì?,BỐ,"THÂN, CƠ THỂ","LUYỆN TẬP, HỌC",RƯỢU,1,20
18,Chữ「很」có nghĩa là gì?,"CHỮ, VĂN TỰ",RẤT,"LẠI, NỮA",ANH ẤY,2,20
19,Chữ「忙」có nghĩa là gì?,ĂN,TO LỚN,"MẶT TRĂNG, THÁNG",BẬN,4,20
20,Chữ「他」có nghĩa là gì?,HỎI,TÔI,ANH ẤY,"GỌI, KÊU",3,20
21,Chữ「她」có nghĩa là gì?,CŨNG,KHÔNG,"VÀO, TIẾN VÀO",CÔ ẤY,4,20
22,Chữ「难」có nghĩa là gì?,TÔI,KHÓ,"CƠM, THỨC ĂN","MẤY, BAO NHIÊU",2,20
23,Chữ「六」có nghĩa là gì?,SÁU,CHÍN,BỐN,BẢY,1,20
24,Chữ「七」có nghĩa là gì?,"LÀM, TẠO RA, SÁNG TẠO, LÀM VIỆC","LẠI, NỮA",BẢY,ĐÚNG,3,20
25,Chữ「九」có nghĩa là gì?,CHÍN,BA,"CHỮ, VĂN TỰ","HÔM NAY, BÂY GIỜ",1,20
26,Chữ「学」có nghĩa là gì?,MIỆNG,"MUỐN, CẦN, YÊU CẦU",BỐ,HỌC,4,20
27,Chữ「去」có nghĩa là gì?,"Ở GIỮA, TRUNG TÂM",RẤT,"GIÀ, LỚN TUỔI",ĐI,4,20
28,Chữ「北」có nghĩa là gì?,"MẶT TRĂNG, THÁNG",TRƯA,"NƯỚC, QUỐC GIA",BẮC,4,20
29,Chữ「京」có nghĩa là gì?,KINH,"PHÁT, PHÁT TRIỂN","SINH, SỐNG",BẠN,1,20
30,Chữ「对」có nghĩa là gì?,MƯỜI,BẠN,ĐÚNG,"THÂN, CƠ THỂ",3,20
31,Chữ「明」có nghĩa là gì?,"CƠM, THỨC ĂN",SÁNG,"THẦY, GIÁO VIÊN",ĐẦU,2,20
32,Chữ「天」có nghĩa là gì?,HỎI,KINH,"ÂM, ÂM THANH","TRỜI, NGÀY",4,20
33,Chữ「见」có nghĩa là gì?,TRỢ TỪ SỐ NHIỀU DÙNG SAU ĐẠI TỪ HOẶC TỪ CHỈ NGƯỜI,KHÔNG,GẶP,"ĐẦU, ĐỒNG (TIỀN)",3,20
34,Chữ「银」có nghĩa là gì?,"SÁCH, VIẾT","DƯỚI, XUỐNG","CHỮ, VĂN TỰ",BẠC,4,20
35,Chữ「行」có nghĩa là gì?,SÁNG,NGÂN HÀNG,"QUÁ, LẮM","NHỎ, BÉ",2,20
36,Chữ「二」có nghĩa là gì?,HAI,"CON, ĐỨA TRẺ",MỘT,"VĂN, CHỮ VIẾT",1,20
37,Chữ「三」có nghĩa là gì?,ĐÚNG,"GIÀ, LỚN TUỔI",BA,NGÔN NGỮ,3,20
38,Chữ「四」có nghĩa là gì?,BẠN,HAI,BỐN,ĐẦU,3,20
39,Chữ「今」có nghĩa là gì?,"HÔM NAY, BÂY GIỜ","PHÁT, PHÁT TRIỂN","CON, ĐỨA TRẺ",TRƯA,1,20
40,Chữ「关」có nghĩa là gì?,"THÂN THỂ, CƠ THỂ","VĂN, CHỮ VIẾT",KHÔNG (TRỢ TỪ),"ĐÓNG, TẮT",4,20
41,Chữ「星」có nghĩa là gì?,TRẮNG,ĐI,SAO,"CÔNG, VIỆC, CÔNG VIỆC, THỢ",3,20
42,Chữ「期」có nghĩa là gì?,"LÀM, TẠO RA, SÁNG TẠO, LÀM VIỆC",BẢY,"KỲ, TUẦN",NGƯỜI,3,20
43,Chữ「几」có nghĩa là gì?,"MẤT, CHẾT",CHÍN,"MẤY, BAO NHIÊU",SÁU,3,20
